,delay[s]
83552,0.161
83553,0.034
83554,0.167
83555,0.224
83556,0.299
83557,0.265
83558,0.11
83559,0.036
83560,0.173
83561,0.158
83562,0.194
83563,0.152
83564,0.796
83565,0.053
83566,0.105
83567,0.419
83568,0.188
83569,0.24
83570,0.221
83571,0.186
83572,0.065
83573,0.111
83574,0.128
83575,0.174
83576,0.225
83577,0.221
83578,0.092
83579,0.069
83580,0.178
83581,0.112
83582,0.21
83583,0.215
83584,0.375
83585,0.084
83586,0.301
83587,0.312
83588,0.182
83589,0.355
83590,0.218
83591,0.141
83592,0.124
83593,0.118
83594,0.067
83595,0.058
83596,0.279
83597,0.369
83598,0.354
83599,0.106
83600,0.088
83601,0.296
83602,0.052
83603,0.094
83604,0.103
83605,0.092
83606,0.115
83607,0.265
83608,0.037
83609,0.058
83610,0.236
83611,0.049
83612,0.253
83613,0.127
83614,0.158
83615,0.266
83616,0.186
83617,0.116
83618,0.156
83619,0.104
83620,0.06
83621,0.094
83622,0.082
83623,0.255
83624,0.287
83625,0.263
83626,0.194
83627,0.301
83628,0.054
83629,0.111
83630,0.104
83631,0.195
83632,0.243
83633,0.1
83634,0.1
83635,0.059
83636,0.098
83637,0.125
83638,0.067
83639,0.065
83640,0.076
83641,0.143
83642,0.06
83643,0.094
83644,0.391
83645,0.131
83646,0.294
83647,0.242
83648,0.138
83649,0.064
83650,0.12
83651,0.285
83652,0.148
83653,0.157
83654,0.104
83655,0.151
83656,0.048
83657,0.297
83658,0.126
83659,0.077
83660,0.201
83661,0.225
83662,0.19
83663,0.018
83664,0.095
83665,0.289
83666,0.106
83667,0.119
83668,0.157
83669,0.101
83670,0.135
83671,0.063
83672,0.107
83673,0.028
83674,0.112
83675,0.139
83676,0.141
83677,0.208
83678,0.149
83679,0.122
83680,0.022
83681,0.164
83682,0.14
83683,0.119
83684,0.253
83685,0.036
83686,0.104
83687,0.301
83688,0.119
83689,0.176
83690,0.377
83691,0.072
83692,0.188
83693,0.281
83694,0.261
83695,0.196
83696,0.087
83697,0.495
83698,0.416
83699,0.13
83700,0.095
83701,0.031
83702,0.17
83703,0.155
83704,0.212
83705,0.096
83706,0.007
83707,0.069
83708,0.268
83709,0.186
83710,0.042
83711,0.37
83712,0.368
83713,0.072
83714,0.302
83715,0.195
83716,0.153
83717,0.054
83718,0.249
83719,0.134
83720,0.123
83721,0.124
83722,0.206
83723,0.18
83724,0.095
83725,0.102
83726,0.124
83727,0.084
83728,0.132
83729,0.119
83730,0.224
83731,0.284
83732,0.102
83733,0.237
83734,0.095
83735,0.101
83736,0.055
83737,0.323
83738,0.193
83739,0.028
83740,1.093
83741,0.135
83742,0.102
83743,0.095
83744,0.155
83745,0.382
83746,0.084
83747,0.174
83748,0.149
83749,0.09
83750,0.127
83751,0.007
83752,0.394
83753,0.209
83754,0.229
83755,0.098
83756,0.092
83757,0.151
83758,0.208
83759,0.067
83760,0.253
83761,0.172
83762,0.381
83763,0.08
83764,0.283
83765,0.258
83766,0.134
83767,0.099
83768,0.162
83769,0.179
83770,0.306
83771,0.142
83772,0.046
83773,0.124
83774,0.241
83775,0.14
83776,0.118
83777,0.098
83778,0.163
83779,0.098
83780,0.085
83781,0.053
83782,0.253
83783,0.087
83784,0.074
83785,0.224
83786,0.243
83787,0.142
83788,0.228
83789,0.209
83790,0.17
83791,0.115
83792,0.266
83793,0.18
83794,0.148
83795,0.094
83796,0.117
83797,0.076
83798,0.148
83799,0.382
83800,0.12
83801,0.354
83802,0.173
83803,0.201
83804,0.078
83805,0.131
83806,0.095
83807,0.037
83808,0.122
83809,0.033
83810,0.126
83811,0.325
83812,0.11
83813,0.286
83814,0.06
83815,0.203
83816,0.195
83817,0.247
83818,0.155
83819,0.244
83820,0.143
83821,0.115
83822,0.215
83823,0.377
83824,0.131
83825,0.241
83826,0.093
83827,0.172
83828,0.201
83829,0.395
83830,0.203
83831,0.11
83832,0.27
83833,0.065
83834,0.203
83835,0.134
83836,0.054
83837,0.093
83838,0.076
83839,0.266
83840,0.104
83841,0.11
83842,0.116
83843,0.067
83844,0.228
83845,0.22
83846,0.137
83847,0.379
83848,0.061
83849,0.126
83850,0.199
83851,0.063
83852,0.278
83853,0.171
83854,0.196
83855,0.29
83856,0.036
83857,0.242
83858,0.434
83859,0.114
83860,0.456
83861,0.033
83862,0.35
83863,0.159
83864,0.101
83865,0.164
83866,0.33
83867,0.099
83868,0.315
83869,0.104
83870,0.177
83871,0.159
83872,0.236
83873,0.212
83874,0.226
83875,0.135
83876,0.221
83877,0.04
83878,0.108
83879,0.674
83880,0.192
83881,0.182
83882,0.136
83883,0.315
83884,0.211
83885,0.075
83886,0.033
83887,0.071
83888,0.103
83889,0.23
83890,0.201
83891,0.132
83892,0.178
83893,0.108
83894,0.204
83895,0.333
83896,0.146
83897,0.144
83898,0.04
83899,0.083
83900,0.139
83901,0.031
83902,0.14
83903,0.048
83904,0.235
83905,0.203
83906,0.108
83907,0.125
83908,0.388
83909,0.192
83910,0.394
83911,0.427
83912,0.251
83913,0.16
83914,0.085
83915,0.133
83916,0.322
83917,0.108
83918,0.292
83919,0.075
83920,0.444
83921,0.11
83922,0.061
83923,0.065
83924,0.103
83925,0.017
83926,0.074
83927,0.079
83928,0.1
83929,0.552
83930,0.065
83931,0.06
83932,0.188
83933,0.253
83934,0.44
83935,0.3
83936,0.191
83937,0.077
83938,0.143
83939,0.072
83940,0.2
83941,0.043
83942,0.122
83943,0.043
83944,0.189
83945,0.227
83946,0.067
83947,0.092
83948,0.051
83949,0.13
83950,0.082
83951,0.356
83952,0.174
83953,0.069
83954,0.168
83955,0.076
83956,0.094
83957,0.113
83958,0.139
83959,0.206
83960,0.159
83961,0.06
83962,0.025
83963,0.119
83964,0.053
83965,0.26
83966,0.252
83967,0.015
83968,0.316
83969,0.124
83970,0.078
83971,0.107
83972,0.38
83973,0.065
83974,0.177
83975,0.139
83976,0.122
83977,0.347
83978,0.257
83979,0.089
83980,0.117
83981,0.239
83982,0.283
83983,0.09
83984,0.659
83985,0.066
83986,0.099
83987,0.061
83988,0.042
83989,0.124
83990,0.293
83991,0.089
83992,0.088
83993,0.076
83994,0.055
83995,0.089
83996,0.078
83997,0.14
83998,0.382
83999,0.104
84000,0.151
84001,0.049
84002,0.043
84003,0.514
84004,0.295
84005,0.106
84006,0.097
84007,0.164
84008,0.114
84009,0.059
84010,0.458
84011,0.411
84012,0.079
84013,0.485
84014,0.033
84015,0.081
84016,0.169
84017,0.031
84018,0.13
84019,0.141
84020,0.071
84021,0.682
84022,0.076
84023,0.112
84024,0.274
84025,0.245
84026,0.147
84027,0.187
84028,0.127
84029,0.06
84030,0.11
84031,0.127
84032,0.043
84033,0.324
84034,0.075
84035,0.147
84036,0.042
84037,0.345
84038,0.352
84039,0.314
84040,0.102
84041,0.635
84042,0.282
84043,0.025
84044,0.111
84045,0.063
84046,0.017
84047,0.245
84048,0.078
84049,0.052
84050,0.143
84051,0.243
84052,0.147
84053,0.402
84054,0.183
84055,0.149
84056,0.122
84057,0.815
84058,0.147
84059,0.245
84060,0.033
84061,0.086
84062,0.071
84063,0.189
84064,0.076
84065,0.173
84066,0.067
84067,0.09
84068,0.205
84069,0.103
84070,0.141
84071,0.068
84072,0.084
84073,0.076
84074,0.131
84075,0.117
84076,0.071
84077,0.314
84078,0.286
84079,0.139
84080,0.171
84081,0.401
84082,0.269
84083,0.102
84084,0.151
84085,0.314
84086,0.174
84087,0.28
84088,0.056
84089,0.187
84090,0.074
84091,0.194
84092,0.068
84093,0.591
84094,0.138
84095,0.103
84096,0.327
84097,0.079
84098,0.03
84099,0.04
84100,0.044
84101,0.487
84102,0.156
84103,0.398
84104,0.354
84105,0.149
84106,0.02
84107,0.115
84108,0.395
84109,0.078
84110,0.111
84111,0.469
84112,0.185
84113,0.082
84114,0.256
84115,0.151
84116,0.295
84117,0.129
84118,0.099
84119,0.096
84120,0.084
84121,0.235
84122,0.108
84123,0.07
84124,0.042
84125,0.152
84126,0.015
84127,0.196
84128,0.117
84129,0.139
84130,0.08
84131,0.381
84132,0.036
84133,0.095
84134,0.155
84135,0.106
84136,0.58
84137,0.14
84138,0.16
84139,0.301
84140,0.234
84141,0.139
84142,0.108
84143,0.229
84144,0.082
84145,0.058
84146,0.29
84147,0.262
84148,0.07
84149,0.099
84150,0.244
84151,0.133
84152,0.048
84153,0.141
84154,0.143
84155,0.092
84156,0.114
84157,0.022
84158,0.142
84159,0.148
84160,0.079
84161,0.141
84162,0.046
84163,0.137
84164,0.111
84165,0.151
84166,0.123
84167,0.247
84168,0.083
84169,0.128
84170,0.403
84171,0.12
84172,0.114
84173,0.078
84174,0.208
84175,0.099
84176,0.046
84177,0.115
84178,0.144
84179,0.085
84180,0.067
84181,0.067
84182,0.146
84183,0.151
84184,0.061
84185,0.251
84186,0.139
84187,0.155
84188,0.087
84189,0.046
84190,0.365
84191,0.182
84192,0.184
84193,0.054
84194,0.128
84195,0.286
84196,0.079
84197,0.145
84198,0.131
84199,0.303
84200,0.424
84201,0.264
84202,0.211
84203,0.107
84204,0.104
84205,0.045
84206,0.096
84207,0.114
84208,0.064
84209,0.145
84210,0.268
84211,0.043
84212,0.031
84213,0.103
84214,0.066
84215,0.054
84216,0.123
84217,0.128
84218,0.278
84219,0.291
84220,0.162
84221,0.206
84222,0.216
84223,0.199
84224,0.106
84225,0.116
84226,0.105
84227,0.113
84228,0.221
84229,0.457
84230,0.084
84231,0.182
84232,0.079
84233,0.156
84234,0.172
84235,0.163
84236,0.13
84237,0.113
84238,0.123
84239,0.101
84240,0.09
84241,0.283
84242,0.41
84243,0.18
84244,0.224
84245,0.2
84246,0.156
84247,0.047
84248,0.076
84249,0.129
84250,0.211
84251,0.137
84252,0.344
84253,0.313
84254,0.14
84255,0.224
84256,0.128
84257,0.32
84258,0.155
84259,0.206
84260,0.179
84261,0.123
84262,0.09
84263,0.528
84264,0.084
84265,0.126
84266,0.106
84267,0.091
84268,0.011
84269,0.24
84270,0.178
84271,0.097
84272,0.177
84273,0.01
84274,0.217
84275,0.049
84276,0.108
84277,0.233
84278,0.251
84279,0.099
84280,0.305
84281,0.103
84282,0.081
84283,0.185
84284,0.085
84285,0.135
84286,0.072
84287,0.049
84288,0.077
84289,0.236
84290,0.23
84291,0.079
84292,0.313
84293,0.06
84294,0.072
84295,0.186
84296,0.149
84297,0.235
84298,0.336
84299,0.255
84300,0.061
84301,0.064
84302,0.045
84303,0.061
84304,0.108
84305,0.09
84306,0.324
84307,0.102
84308,0.096
84309,0.118
84310,0.115
84311,0.331
84312,0.061
84313,0.097
84314,0.193
84315,0.162
84316,0.241
84317,0.085
84318,0.259
84319,0.483
84320,0.133
84321,0.187
84322,0.167
84323,0.03
84324,0.143
84325,0.171
84326,0.12
84327,0.221
84328,0.109
84329,0.246
84330,0.325
84331,0.283
84332,0.064
84333,0.281
84334,0.372
84335,0.128
84336,0.295
84337,0.358
84338,0.083
84339,0.074
84340,0.198
84341,0.232
84342,0.415
84343,0.077
84344,0.139
84345,0.02
84346,0.114
84347,0.085
84348,0.135
84349,0.141
84350,0.043
84351,0.068
84352,0.259
84353,0.044
84354,0.096
84355,0.095
84356,0.126
84357,0.084
84358,0.403
84359,0.092
84360,0.338
84361,0.149
84362,0.205
84363,0.117
84364,0.329
84365,0.034
84366,0.056
84367,0.206
84368,0.133
84369,0.179
84370,0.132
84371,0.28
84372,0.199
84373,0.055
84374,0.112
84375,0.445
84376,0.019
84377,0.114
84378,0.121
84379,0.107
84380,0.294
84381,0.549
84382,0.567
84383,0.033
84384,0.033
84385,0.273
84386,0.72
84387,0.136
84388,0.123
84389,0.445
84390,0.108
84391,0.291
84392,0.402
84393,0.215
84394,0.134
84395,0.21
84396,0.103
84397,0.09
84398,0.145
84399,0.007
84400,0.054
84401,0.148
84402,0.144
84403,0.176
84404,0.071
84405,0.156
84406,0.274
84407,0.21
84408,0.182
84409,0.192
84410,0.085
84411,0.179
84412,0.089
84413,0.141
84414,0.027
84415,0.074
84416,0.049
84417,0.096
84418,0.132
84419,0.192
84420,0.302
84421,0.086
84422,0.339
84423,0.117
84424,0.081
84425,0.126
84426,0.481
84427,0.109
84428,0.348
84429,0.038
84430,0.106
84431,0.091
84432,0.131
84433,0.17
84434,0.105
84435,0.288
84436,0.071
84437,0.081
84438,0.257
84439,0.157
84440,0.083
84441,0.063
84442,0.143
84443,0.475
84444,0.118
84445,0.272
84446,0.556
84447,0.135
84448,0.057
84449,0.296
84450,0.084
84451,0.218
84452,0.478
84453,0.263
84454,0.104
84455,0.021
84456,0.324
84457,0.185
84458,0.218
84459,0.054
84460,0.19
84461,0.13
84462,0.147
84463,0.095
84464,0.167
84465,0.106
84466,0.052
84467,0.063
84468,0.267
84469,1.044
84470,0.276
84471,0.092
84472,0.032
84473,0.109
84474,0.307
84475,0.335
84476,0.115
84477,0.108
84478,0.336
84479,0.104
84480,0.096
84481,0.125
84482,0.621
84483,0.043
84484,0.075
84485,0.091
84486,0.132
84487,0.238
84488,0.184
84489,0.156
84490,0.128
84491,0.035
84492,0.273
84493,0.134
84494,0.244
84495,0.128
84496,0.143
84497,0.248
84498,0.224
84499,0.166
84500,0.069
84501,0.185
84502,0.119
84503,0.065
84504,0.203
84505,0.315
84506,0.134
84507,0.262
84508,0.511
84509,0.056
84510,0.128
84511,0.064
84512,0.391
84513,0.161
84514,0.021
84515,0.027
84516,0.039
84517,0.179
84518,0.57
84519,0.102
84520,0.02
84521,0.129
84522,0.265
84523,0.477
84524,0.012
84525,0.052
84526,0.082
84527,0.201
84528,0.135
84529,0.167
84530,0.161
84531,0.164
84532,0.132
84533,0.372
84534,0.164
84535,0.355
84536,0.186
84537,0.215
84538,0.014
84539,0.233
84540,0.229
84541,0.241
84542,0.168
84543,0.187
84544,0.767
84545,0.045
84546,0.078
84547,0.246
84548,0.241
84549,0.08
84550,0.035
84551,0.037
84552,0.192
84553,0.261
84554,0.068
84555,0.676
84556,0.471
84557,0.183
84558,0.09
84559,0.254
84560,0.116
84561,0.133
84562,0.494
84563,0.188
84564,0.088
84565,0.124
84566,0.059
84567,0.24
84568,0.239
84569,0.285
84570,0.126
84571,0.049
84572,0.13
84573,0.136
84574,0.134
84575,0.178
84576,0.049
84577,0.178
84578,0.229
84579,0.115
84580,0.539
84581,0.121
84582,0.2
84583,0.062
84584,0.077
84585,0.134
84586,0.023
84587,0.198
84588,0.195
84589,0.11
84590,0.072
84591,0.264
84592,0.297
84593,0.131
84594,0.281
84595,0.052
84596,0.161
84597,0.135
84598,0.467
84599,0.036
84600,0.114
84601,0.189
84602,0.064
84603,0.09
84604,0.388
84605,0.193
84606,0.243
84607,0.257
84608,0.066
84609,0.101
84610,0.037
84611,0.119
84612,0.023
84613,0.049
84614,0.37
84615,0.032
84616,0.207
84617,0.053
84618,0.071
84619,0.05
84620,0.159
84621,0.236
84622,0.341
84623,0.119
84624,0.099
84625,0.043
84626,0.197
84627,0.099
84628,0.091
84629,0.29
84630,0.242
84631,0.159
84632,0.205
84633,0.063
84634,0.043
84635,0.19
84636,0.159
84637,0.206
84638,0.073
84639,0.107
84640,0.048
84641,0.111
84642,0.291
84643,0.186
84644,0.189
84645,0.177
84646,0.088
84647,0.095
84648,0.091
84649,0.116
84650,0.325
84651,0.438
84652,0.049
84653,0.342
84654,0.421
84655,0.328
84656,0.1
84657,0.26
84658,0.112
84659,0.094
84660,0.241
84661,0.164
84662,0.097
84663,0.581
84664,0.204
84665,0.142
84666,0.062
84667,0.101
84668,0.176
84669,0.518
84670,0.252
84671,0.486
84672,0.019
84673,0.09
84674,0.154
84675,0.109
84676,0.095
84677,0.027
84678,0.075
84679,0.03
84680,0.643
84681,0.155
84682,0.113
84683,0.151
84684,0.181
84685,0.04
84686,0.083
84687,0.132
84688,0.379
84689,0.093
84690,0.339
84691,0.257
84692,0.159
84693,0.087
84694,0.357
84695,0.384
84696,0.095
84697,0.001
84698,0.151
84699,0.117
84700,0.124
84701,0.193
84702,0.152
84703,0.093
84704,0.111
84705,0.109
84706,0.17
84707,0.07
84708,0.424
84709,0.161
84710,0.115
84711,0.084
84712,0.077
84713,0.23
84714,0.179
84715,0.04
84716,0.081
84717,0.186
84718,0.277
84719,0.083
84720,0.039
84721,0.31
84722,0.426
84723,0.065
84724,0.102
84725,0.282
84726,0.064
84727,0.238
84728,0.219
84729,0.137
84730,0.183
84731,0.132
84732,0.226
84733,0.081
84734,0.222
84735,0.077
84736,0.104
84737,0.268
84738,0.45
84739,0.08
84740,0.083
84741,0.114
84742,0.254
84743,0.513
84744,0.193
84745,0.094
84746,0.127
84747,0.178
84748,0.066
84749,0.111
84750,0.135
84751,0.197
84752,0.211
84753,0.092
84754,0.129
84755,0.116
84756,0.069
84757,0.345
84758,0.165
84759,0.362
84760,0.092
84761,0.104
84762,0.215
84763,0.22
84764,0.044
84765,0.158
84766,0.243
84767,0.136
84768,0.093
84769,0.095
84770,0.216
84771,0.206
84772,0.045
84773,0.036
84774,0.102
84775,0.387
84776,0.103
84777,0.6
84778,0.124
84779,0.053
84780,0.126
84781,0.108
84782,0.13
84783,0.111
84784,0.096
84785,0.119
84786,0.208
84787,0.168
84788,0.3
84789,0.176
84790,0.132
84791,0.102
84792,0.158
84793,0.091
84794,0.22
84795,0.036
84796,0.056
84797,0.167
84798,0.165
84799,0.451
84800,0.172
84801,0.195
84802,0.119
84803,0.236
84804,0.082
84805,0.127
84806,0.132
84807,0.052
84808,0.037
84809,0.097
84810,0.109
84811,0.457
84812,0.108
84813,0.14
84814,0.249
84815,0.181
84816,0.07
84817,0.067
84818,0.353
84819,0.179
84820,0.088
84821,0.16
84822,0.085
84823,0.139
84824,0.083
84825,0.151
84826,0.247
84827,0.097
84828,0.149
84829,0.126
84830,0.342
84831,0.066
84832,0.273
84833,0.033
84834,0.093
84835,0.081
84836,0.198
84837,0.079
84838,0.084
84839,0.118
84840,0.173
84841,0.082
84842,0.038
84843,0.129
84844,0.091
84845,0.117
84846,0.375
84847,0.027
84848,0.177
84849,0.254
84850,0.057
84851,0.135
84852,0.126
84853,0.11
84854,0.177
84855,0.103
84856,0.039
84857,0.173
84858,0.256
84859,0.041
84860,0.115
84861,0.124
84862,0.095
84863,0.152
84864,0.333
84865,0.112
84866,0.092
84867,0.132
84868,0.031
84869,0.124
84870,0.07
84871,0.16
84872,0.325
84873,0.248
84874,0.103
84875,0.105
84876,0.33
84877,0.02
84878,0.141
84879,0.244
84880,0.114
84881,0.201
84882,0.094
84883,0.083
84884,0.083
84885,0.118
84886,0.195
84887,0.109
84888,0.041
84889,0.088
84890,0.517
84891,0.094
84892,0.15
84893,0.055
84894,0.099
84895,0.106
84896,0.097
84897,0.335
84898,0.231
84899,0.367
84900,0.139
84901,0.397
84902,0.038
84903,0.559
84904,0.127
84905,0.146
84906,0.092
84907,0.18
84908,0.308
84909,0.041
84910,0.314
84911,0.238
84912,0.159
84913,0.202
84914,0.09
84915,0.114
84916,0.172
84917,0.123
84918,0.037
84919,0.072
84920,0.151
84921,0.033
84922,0.053
84923,0.187
84924,0.154
84925,0.273
84926,0.428
84927,0.074
84928,0.411
84929,0.059
84930,0.406
84931,0.123
84932,0.125
84933,0.1
84934,0.076
84935,0.163
84936,0.132
84937,0.309
84938,0.057
84939,0.131
84940,0.112
84941,0.403
84942,0.327
84943,0.087
84944,0.103
84945,0.161
84946,0.178
84947,0.251
84948,0.748
84949,0.106
84950,0.155
84951,0.474
84952,0.015
84953,0.477
84954,0.087
84955,0.073
84956,0.094
84957,0.088
84958,0.052
84959,0.051
84960,0.09
84961,0.19
84962,0.258
84963,0.045
84964,0.165
84965,0.102
84966,0.137
84967,0.341
84968,0.174
84969,0.41
84970,0.144
84971,0.183
84972,0.275
84973,0.052
84974,0.207
84975,0.119
84976,0.231
84977,0.31
84978,0.053
84979,0.45
84980,0.156
84981,0.09
84982,0.139
84983,0.093
84984,0.165
84985,0.063
84986,0.131
84987,0.199
84988,0.37
84989,0.134
84990,0.077
84991,0.223
84992,0.387
84993,0.114
84994,0.16
84995,0.056
84996,0.061
84997,0.101
84998,0.413
84999,0.1
85000,0.147
85001,0.157
85002,0.081
85003,0.087
85004,0.297
85005,0.218
85006,0.392
85007,0.23
85008,0.059
85009,0.367
85010,0.157
85011,0.149
85012,0.115
85013,0.206
85014,0.305
85015,0.145
85016,0.135
85017,0.254
85018,0.105
85019,0.165
85020,0.089
85021,0.043
85022,0.353
85023,0.059
85024,0.529
85025,0.156
85026,0.141
85027,0.144
85028,0.663
85029,0.123
85030,0.133
85031,0.322
85032,0.362
85033,0.287
85034,0.115
85035,0.092
85036,0.084
85037,0.261
85038,0.179
85039,0.092
85040,0.251
85041,0.135
85042,0.22
85043,0.093
85044,0.128
85045,0.346
85046,0.088
85047,0.04
85048,0.431
85049,0.219
85050,0.256
85051,0.229
85052,0.044
85053,0.333
85054,0.445
85055,0.285
85056,0.196
85057,0.254
85058,0.215
85059,0.087
85060,0.052
85061,0.881
85062,0.245
85063,0.133
85064,0.135
85065,0.165
85066,0.117
85067,0.322
85068,0.066
85069,0.071
85070,0.219
85071,0.12
85072,0.352
85073,0.209
85074,0.095
85075,0.022
85076,0.312
85077,0.129
85078,0.449
85079,0.129
85080,0.243
85081,0.101
85082,0.277
85083,0.534
85084,0.168
85085,0.086
85086,0.094
85087,0.219
85088,0.427
85089,0.222
85090,0.42
85091,0.028
85092,0.027
85093,0.096
85094,0.074
85095,0.102
85096,0.155
85097,0.117
85098,0.247
85099,0.086
85100,0.138
85101,0.348
85102,0.15
85103,0.303
85104,0.193
85105,0.083
85106,0.135
85107,0.099
85108,0.502
85109,0.212
85110,0.025
85111,0.368
85112,0.175
85113,0.104
85114,0.211
85115,0.085
85116,0.218
85117,0.221
85118,0.073
85119,0.069
85120,0.162
85121,0.196
85122,0.13
85123,0.277
85124,0.045
85125,0.158
85126,0.222
85127,0.101
85128,0.146
85129,0.16
85130,0.091
85131,0.164
85132,0.075
85133,0.067
85134,0.57
85135,0.085
85136,0.057
85137,0.134
85138,0.066
85139,0.329
85140,0.149
85141,0.29
85142,0.266
85143,0.145
85144,0.255
85145,0.195
85146,0.097
85147,0.14
85148,0.139
85149,0.244
85150,0.495
85151,0.149
85152,0.542
85153,0.15
85154,0.155
85155,0.095
85156,0.123
85157,0.2
85158,0.165
85159,0.035
85160,0.064
85161,0.164
85162,0.297
85163,0.14
85164,0.118
85165,0.265
85166,0.147
85167,0.239
85168,0.051
85169,0.112
85170,0.037
85171,0.185
85172,0.107
85173,0.467
85174,0.279
85175,0.28
85176,0.87
85177,0.036
85178,0.26
85179,0.151
85180,0.169
85181,0.135
85182,0.358
85183,0.091
85184,0.232
85185,0.122
85186,0.119
85187,0.148
85188,0.22
85189,0.113
85190,0.223
85191,0.17
85192,0.208
85193,0.228
85194,0.104
85195,0.096
85196,0.167
85197,0.423
85198,0.14
85199,0.132
85200,0.147
85201,0.219
85202,0.037
85203,0.086
85204,0.195
85205,0.134
85206,0.042
85207,0.187
85208,0.223
85209,0.255
85210,0.188
85211,0.088
85212,0.038
85213,0.174
85214,0.218
85215,0.066
85216,0.032
85217,0.038
85218,0.147
85219,0.086
85220,0.206
85221,0.166
85222,0.11
85223,0.165
85224,0.116
85225,0.1
85226,0.112
85227,0.135
85228,0.059
85229,0.079
85230,0.249
85231,0.031
85232,0.082
85233,0.068
85234,0.19
85235,0.172
85236,0.107
85237,0.117
85238,0.215
85239,0.08
85240,0.343
85241,0.233
85242,0.324
85243,0.187
85244,0.206
85245,0.078
85246,0.051
85247,0.106
85248,0.019
85249,0.187
85250,0.521
85251,0.408
85252,0.214
85253,0.115
85254,0.058
85255,0.083
85256,0.226
85257,0.14
85258,0.025
85259,0.198
85260,0.14
85261,0.102
85262,0.117
85263,0.254
85264,0.254
85265,0.186
85266,0.054
85267,0.179
85268,0.186
85269,0.07
85270,0.113
85271,0.017
85272,0.386
85273,0.057
85274,0.051
85275,0.153
85276,0.135
85277,0.048
85278,0.074
85279,0.098
85280,0.13
85281,0.235
85282,0.112
85283,0.092
85284,0.21
85285,0.324
85286,0.017
85287,0.107
85288,0.08
85289,0.172
85290,0.038
85291,0.05
85292,0.219
85293,0.635
85294,0.086
85295,0.037
85296,0.201
85297,0.271
85298,0.098
85299,0.227
85300,0.064
85301,0.269
85302,0.287
85303,0.103
85304,0.091
85305,0.206
85306,0.203
85307,0.065
85308,0.09
85309,0.116
85310,0.13
85311,0.094
85312,0.125
85313,0.103
85314,0.107
85315,0.343
85316,0.106
85317,0.093
85318,0.077
85319,0.097
85320,0.024
85321,0.296
85322,0.118
85323,0.258
85324,0.168
85325,0.119
85326,0.205
85327,0.127
85328,0.123
85329,0.087
85330,0.071
85331,0.11
85332,0.15
85333,0.108
85334,0.182
85335,0.088
85336,0.135
85337,0.077
85338,0.249
85339,0.117
85340,0.092
85341,0.288
85342,0.036
85343,0.104
85344,0.152
85345,0.552
85346,0.08
85347,0.29
85348,0.084
85349,0.075
85350,0.088
85351,0.198
85352,0.177
85353,0.056
85354,0.262
85355,0.105
85356,0.027
85357,0.517
85358,0.055
85359,0.254
85360,0.387
85361,0.086
85362,0.216
85363,0.08
85364,0.263
85365,0.055
85366,0.057
85367,0.125
85368,0.1
85369,0.591
85370,0.181
85371,0.079
85372,0.062
85373,0.099
85374,0.146
85375,0.14
85376,0.17
85377,0.11
85378,0.185
85379,0.074
85380,0.255
85381,0.146
85382,0.157
85383,0.267
85384,0.556
85385,0.068
85386,0.122
85387,0.106
85388,0.081
85389,0.199
85390,0.043
85391,0.069
85392,0.362
85393,0.114
85394,0.261
85395,0.157
85396,0.082
85397,0.161
85398,0.068
85399,0.275
85400,0.007
85401,0.118
85402,0.031
85403,0.089
85404,0.532
85405,0.249
85406,0.061
85407,0.052
85408,0.235
85409,0.169
85410,0.06
85411,0.129
85412,0.204
85413,0.078
85414,0.342
85415,0.135
85416,0.168
85417,0.116
85418,0.225
85419,0.306
85420,0.035
85421,0.061
85422,0.063
85423,0.192
85424,0.031
85425,0.359
85426,0.282
85427,0.05
85428,0.119
85429,0.09
85430,0.243
85431,0.444
85432,0.468
85433,0.049
85434,0.003
85435,0.305
85436,0.073
85437,0.295
85438,0.062
85439,0.121
85440,0.076
85441,0.183
85442,0.047
85443,0.231
85444,0.109
85445,0.213
85446,0.226
85447,0.179
85448,0.277
85449,0.145
85450,0.066
85451,0.261
85452,0.248
85453,0.347
85454,0.036
85455,0.294
85456,0.144
85457,0.188
85458,0.05
85459,0.13
85460,0.313
85461,0.129
85462,0.18
85463,0.194
85464,0.131
85465,0.158
85466,0.077
85467,0.081
85468,0.123
85469,0.257
85470,0.104
85471,0.102
85472,0.238
85473,0.09
85474,0.127
85475,0.053
85476,0.123
85477,0.135
85478,0.089
85479,0.333
85480,0.108
85481,0.166
85482,0.081
85483,0.083
85484,0.103
85485,0.199
85486,0.07
85487,0.151
85488,0.086
85489,0.209
85490,0.209
85491,0.169
85492,0.084
85493,0.097
85494,0.242
85495,0.202
85496,0.286
85497,0.121
85498,0.161
85499,0.026
85500,0.116
85501,0.104
85502,0.084
85503,0.128
85504,0.097
85505,0.106
85506,0.151
85507,0.103
85508,0.198
85509,0.078
85510,0.214
85511,0.034
85512,0.034
85513,0.064
85514,0.135
85515,0.216
85516,0.079
85517,0.128
85518,0.162
85519,0.161
85520,0.028
85521,0.016
85522,0.274
85523,0.062
85524,0.123
85525,0.097
85526,0.119
85527,0.084
85528,0.269
85529,0.163
85530,0.238
85531,0.14
85532,0.195
85533,0.09
85534,0.064
85535,0.127
85536,0.064
85537,0.061
85538,0.126
85539,0.053
85540,0.239
85541,0.156
85542,0.123
85543,0.292
85544,0.443
85545,0.179
85546,0.062
85547,0.154
85548,0.17
85549,0.06
85550,0.1
